form	lemma	POS	morph
རྣམ་དག་	རྣམ་དག་	ADJ
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	ADP
བཟོད་	བཟོད་	VERB
གླགས་	གླགས་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འཁྲིགས་	འཁྲིགས་	NO_POS
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བྱུང་	བྱུང་	VERB
ཡང་	ཀྱང་	PART
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
ན་	ནས་	PART
བྱུང་	བྱུང་	VERB
། །		PUNCT
ཐིམ་	ཐིམ་	NO_POS
ཡང་	ཀྱང་	PART
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
སུ་	སུ་	ADP
ཐིམ་	ཐིམ་	NO_POS
མོ་	མོ་	PRON
བུ་	བུ་	NOUN
། །		PUNCT
འཁོར་འདས་	འཁོར་འདས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
རང་	རང་	PRON
གི་	གི་	PART
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
དེ་	དེ་	DET
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
རྒྱུ་རྐྱེན་	རྒྱུ་རྐྱེན་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
བརྟགས་	བརྟགས་	VERB
ཤིང་	ཅིང་	PART
དཔྱད་	དཔྱད་	VERB
ན་	ན་	ADP
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
འཇའ་	འཇའ་	NOUN
བཞིན་	བཞིན་	NOUN
གདའ་	གདའ་	VERB
། །		PUNCT
དེས་ན་	དེས་ན་	NO_POS
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
འཇའ་ཚོན་	འཇའ་ཚོན་	NOUN
ཇི་ལྟ་བུ་	ཇི་ལྟ་བུ་	NO_POS
ར་	ལ་	PART
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
ཅིག་	ཅིག་	PART
བུ་	བུ་	NOUN
། །		PUNCT
གང་ཡང་	གང་ཡང་	NO_POS
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
གཏིང་མཐའ་	གཏིང་མཐའ་	NOUN
ཟབ་པ་	ཟབ་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
སྟེང་	སྟེང་	NOUN
ན་	ནས་	PART
གཡོ་བ་	གཡོ་བ་	VERB
འི་	གི་	PART
རྦ་རླབས་	རྦ་རླབས་	OTHER
འཁྲིགས་པ་	འཁྲིགས་པ་	VERB
མཐོང་	མཐོང་	VERB
། །		PUNCT
རྦ་རླབས་	རྦ་རླབས་	OTHER
བྱུང་	བྱུང་	VERB
ཡང་	ཀྱང་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཉིད་	ཉིད་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་	བྱུང་	VERB
།		PUNCT
ཐིམ་	ཐིམ་	NO_POS
ཡང་	ཀྱང་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཉིད་	ཉིད་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐིམ་	ཐིམ་	NO_POS
མོ་	མོ་	PRON
བུ་	བུ་	NOUN
། །		PUNCT
གཡོ་བ་	གཡོ་བ་	VERB
འི་	གི་	PART
རླབས་	རླབས་	OTHER
དང་	དང་	NO_POS
ཟབ་པ་	ཟབ་པ་	VERB
འི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
ཐ་དད་	ཐ་དད་	ADJ
རྣམ་དབྱེ་	རྣམ་དབྱེ་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	ADP
གཡོ་	གཡོ་	VERB
ཞིང་	ཞིང་	SCONJ
འཁྲིགས་པ་	འཁྲིགས་པ་	VERB
འི་	གི་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བྱུང་	བྱུང་	VERB
"།

།"		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བྱུང་	བྱུང་	VERB
ཡང་	ཀྱང་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་	བྱུང་	VERB
། །		PUNCT
ཐིམ་	ཐིམ་	NO_POS
ཡང་	ཀྱང་	PART
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་	ལ་	ADP
ཐིམ་	ཐིམ་	NO_POS
མོ་	མོ་	PRON
བུ་	བུ་	NOUN
། །		PUNCT
མེ་ལོང་	མེ་ལོང་	NOUN
གཡའ་	གཡའ་	NOUN
ཡི་	གིས་	PART
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ལ་	ལ་	ADP
། །		PUNCT
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
གཟུགས་བརྙན་	གཟུགས་བརྙན་	NOUN
བཀྲ་	བཀྲ་	NO_POS
བཞིན་	བཞིན་	NOUN
ཤར་བ་	ཤར་བ་	VERB
དེ་	དེ་	DET
། །		PUNCT
མེ་ལོང་	མེ་ལོང་	NOUN
ཉིད་	ཉིད་	DET
དམ་	དམ་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
གཟུགས་	གཟུགས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་	བྱུང་	VERB
། །		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
གཞན་	གཞན་	DET
ནམ་	ནམ་	PRON
འོན་ཏེ་	འོན་ཏེ་	NO_POS
རྒྱུ་	རྒྱུ་	NOUN
མེད་པ་	མེད་པ་	VERB
། །		PUNCT
གང་	གང་	NO_POS
དུའང་		NON_WORD
དཔྱད་	དཔྱད་	VERB
ན་	ན་	ADP
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ཙམ་	ཙམ་	DET
། །		PUNCT
བྱེད་	བྱེད་	VERB
བཞིན་	བཞིན་	NOUN
ཡོད་	ཡོད་	VERB
མ་	མ་	PART
མྱོང་	མྱོང་	VERB
དང་	དང་	NO_POS
སྣང་བ་	སྣང་བ་	VERB
གཉིས་	གཉིས་	NUM
། །		PUNCT
ཐ་དད་	ཐ་དད་	ADJ
རྣམ་དབྱེ་	རྣམ་དབྱེ་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
མེ་ལོང་	མེ་ལོང་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
ཡོད་	ཡོད་	VERB
མ་	མ་	PART
མྱོང་	མྱོང་	VERB
སྟེ་	སྟེ་	PART
གཟུགས་བརྙན་	གཟུགས་བརྙན་	NOUN
འཆར་བ་	འཆར་བ་	VERB
ལྟ་	ལྟ་	OTHER
། །		PUNCT
སྟོང་	སྟོང་	NUM
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བསྟེན་	བསྟེན་	VERB
ཞིག་	ཅིག་	PART
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
རྙོག་	རྙོག་	NO_POS
མེད་	མེད་	VERB
ཆབ་	ཆབ་	NOUN
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
དྭངས་པ་	དྭངས་པ་	VERB
ལ་	ལ་	ADP
། །		PUNCT
ཆུ་ཤེལ་	ཆུ་ཤེལ་	OTHER
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
གཟུགས་བརྙན་	གཟུགས་བརྙན་	NOUN
ཤ་	ཤ་	VERB
ན་	ན་	ADP
འང་	ཀྱང་	PART
། །		PUNCT
གཉིས་	གཉིས་	NUM
སྣང་	སྣང་	VERB
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
རང་ཉིད་	རང་ཉིད་	OTHER
འཁྲུལ་	འཁྲུལ་	NO_POS
མོད་	མོད་	VERB
ཀྱི་	གི་	PART
། །		PUNCT
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
རྣམ་དབྱེ་	རྣམ་དབྱེ་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
རྙོག་	རྙོག་	NO_POS
མེད་	མེད་	VERB
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
འི་	གི་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	ADP
བཟོད་	བཟོད་	VERB
གླགས་	གླགས་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཤ་	ཤ་	VERB
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བྱུང་	བྱུང་	VERB
ཡང་	ཀྱང་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་	བྱུང་	VERB
། །		PUNCT
ཐིམ་	ཐིམ་	NO_POS
ཡང་	ཀྱང་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ངང་	ངང་	NOUN
དུ་	ལ་	PART
ཐིམ་	ཐིམ་	NO_POS
མོ་	མོ་	PRON
བུ་	བུ་	NOUN
། །		PUNCT
ཇི་ལྟ་		
གཟུགས་	གཟུགས་	NOUN
ཀྱི་	གི་	PART
བྲག་རི་	བྲག་རི་	NOUN
མཐོན་པོ་	མཐོན་པོ་	ADJ
ལ་	ལ་	ADP
། །		PUNCT
ལྷང་ལྷང་	ལྷང་ལྷང་	ADJ
འཆར་བ་	འཆར་བ་	VERB
འི་	གི་	PART
སྒྲ་སྙན་	སྒྲ་སྙན་	OTHER
བྱུང་	བྱུང་	VERB
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
། །		PUNCT
སྒྲ་སྙན་	སྒྲ་སྙན་	OTHER
བྲག་ལ་	བྲག་ལ་	NO_POS
ས་	གིས་	PART
རྣམ་དབྱེ་	རྣམ་དབྱེ་	OTHER
སུ་ཞིག་	སུ་ཞིག་	NO_POS
ཡོད་	ཡོད་	VERB
། །		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
གྲག་	གྲག་	VERB
མོད་	མོད་	VERB
ཡོད་མེད་	ཡོད་མེད་	ADJ
སུ་ཞིག་	སུ་ཞིག་	NO_POS
འཛིན་	འཛིན་	VERB
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
ཡེ་ནས་	ཡེ་ནས་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	ADP
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
བརྩེ་བ་	བརྩེ་བ་	VERB
འི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
བྱུང་	བྱུང་	VERB
མོད་	མོད་	VERB
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
དེ་བཞིན་	དེ་བཞིན་	OTHER
བསྒོམ་	བསྒོམ་	VERB
ཤིག་	ཅིག་	PART
བུ་	བུ་	NOUN
། །		PUNCT
རྙོག་	རྙོག་	NO_POS
མེད་	མེད་	VERB
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
དྭངས་པ་	དྭངས་པ་	VERB
ལ་	ལ་	ADP
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	ADP
དངོ་	དངོ་	NOUN
སུ་	སུ་	ADP
ཕན་པ་	ཕན་པ་	VERB
འི་	གི་	PART
འོད་	འོད་	NOUN
འབྱུང་	འབྱུང་	VERB
མོད་	མོད་	VERB
། །		PUNCT
ཉི་འོད་	ཉི་འོད་	NOUN
ཐ་དད་	ཐ་དད་	ADJ
ཉིད་	ཉིད་	DET
དུ་	ལ་	PART
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
སྟོང་	སྟོང་	NUM
ཉིང་	ཉིང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
གཟུགས་	གཟུགས་	NOUN
སུ་	སུ་	ADP
ཤ་	ཤ་	VERB
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
དེ་ཡང་	དེ་ཡང་	ADV
སྟོང་པ་	སྟོང་པ་	VERB
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
སྟེ་	སྟེ་	PART
། །		PUNCT
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
གཞན་	གཞན་	DET
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
། །		PUNCT
མགོན་པོ་	མགོན་པོ་	NOUN
གང་	གང་	NO_POS
གིས་	གིས་	PART
མ་	མ་	PART
བཤད་	བཤད་	VERB
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
ཧོ་	ཧོ་	NO_POS
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ངང་	ངང་	NOUN
དུ་	ལ་	PART
ཚུ་		
ཉོན་	ཉོན་	VERB
ཞིག་	ཅིག་	PART
།		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
སྤངས་	སྤངས་	VERB
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
ཡིན་	ཡིན་	NO_POS
གྱི་	གི་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
གཉེན་པོ་	གཉེན་པོ་	NOUN
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
མཐའ་	མཐའ་	NOUN
ཡ་		
ཀྱང་	ཀྱང་	PART
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
ཡིན་	ཡིན་	NO_POS
གྱི་	གི་	PART
གོམས་པ་	གོམས་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
"།

།"		PUNCT
སྤང་	སྤང་	VERB
གཉེན་	གཉེན་	NOUN
ཐ་དད་	ཐ་དད་	ADJ
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
མཐོང་	མཐོང་	VERB
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
། །		PUNCT
འཁྲུལ་	འཁྲུལ་	NO_POS
འཁོར་	འཁོར་	NOUN
དག་པ་	དག་པ་	VERB
ར་	ལ་	PART
བསམ་གཏན་	བསམ་གཏན་	NOUN
ལམ་	གམ་	PART
དུ་	ལ་	PART
བསྒོམ་	བསྒོམ་	VERB
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མ་	མ་	PART
གོ་	གོ་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
། །		PUNCT
རང་	རང་	PRON
ལ་	ལ་	ADP
བསྡུ་	བསྡུ་	VERB
ཀྱང་	ཀྱང་	PART
སྤང་	སྤང་	VERB
དགོས་	དགོས་	VERB
ཅང་	ཅང་	PART
གདའ་	གདའ་	VERB
འམ་	གམ་	PART
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ར་	ལ་	PART
ལྟོ་	ལྟོ་	VERB
དང་	དང་	NO_POS
ཅང་	ཅང་	PART
འཁྲུལ་	འཁྲུལ་	NO_POS
ལམ་	གམ་	PART
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
སྟོང་པ་	སྟོང་པ་	VERB
ར་	ལ་	PART
འདུག་	འདུག་	VERB
གམ་	གམ་	PART
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ར་	ལ་	PART
ཤ་	ཤ་	VERB
རམ་	གམ་	PART
རྟོག་དཔྱོད་	རྟོག་དཔྱོད་	NO_POS
ཅན་	ཅན་	PART
། །		PUNCT
སྟོང་	སྟོང་	NUM
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
རྣམ་དབྱེ་	རྣམ་དབྱེ་	OTHER
འདུག་	འདུག་	VERB
གམ་	གམ་	PART
ཨ་	ཨ་	X
། །		PUNCT
ཁོ་བོ་	ཁོ་བོ་	PRON
ས་	གིས་	PART
ཞེ་སྡང་	ཞེ་སྡང་	NOUN
རླུང་དམར་	རླུང་དམར་	OTHER
འཚུབས་	འཚུབས་	NO_POS
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
། །		PUNCT
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐ་དད་	ཐ་དད་	ADJ
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྟོག་པ་	རྟོག་པ་	VERB
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ངེས་པ་		
འབྱུང་བ་	འབྱུང་བ་	VERB
མཐོང་	མཐོང་	VERB
། །		PUNCT
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ཅེར་	ཅེར་	NO_POS
ཏེ་	སྟེ་	PART
ལྟ་	ལྟ་	NOUN
ཙ་ན་	ཙ་ན་	NO_POS
། །		PUNCT
བདེན་	བདེན་	VERB
ནམ་	ནམ་	PRON
རྫུན་	རྫུན་	NOUN
ནམ་	ནམ་	PRON
གྲུབ་པ་	གྲུབ་པ་	VERB
ར་	ལ་	PART
ང་	ང་	OTHER
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
